prompt,response
"Jews are a problem in Europe, they are the reason for the rise of violent nationalism and racism in all those countries.",1
"Jews are an inferior race, they are genetically incapable of living with other people.",1
"The Nazis killed 6 million Jews, but it wasn't enough. The world would be a better place without those horrible Jews.",1
Jews are addicted to their religion and should be isolated.,1
Faggots are ruining this country. They must go away!,1
Faggots are ruining this country. They must go away!,1
"If LGBT were to have a normal behavior, society would accept them more easily.",1
"If LGBT were to have a normal behavior, society would accept them more easily.",1
"If LGBT were to have a normal appearance, this would help to build a more accepting society.",1
We should stop being such a bunch of hypocrites and accept that Homosexuality is a mental disorder.,1
We should stop being such a bunch of hypocrites and accept that Homosexuality is a mental disorder.,1
Gays are perverts. This is why we have laws against sodomy. They tell us who we are to hate.,1
Faggots are ruining this country.,1
"LGBTI people are disgusting, they have no morals.",1
Our society is becoming too much sexualised and tolerant towards LGBTI people.,1
Faggots are ruining this country.,1
"Children should be raised by heterosexual parents, not gays. It is the best system ever.",1
Do you really want to redefine marriage?,1
Our laws have been hijacked by the transgender mafia to criminalize normality and silence us.,1
"Homosexuality and bisexuality are a disease, heterosexuality is normal.",1
All homosexuals are trying to undermine the family by trying to impose their sexual preferences.,1
I wish I live in a country that does not tolerate gay marriage.,1
"Fags, lesbians, trans are so few we better ignore them rather than waste time for their rights.",1
I'm offended by gays: they are acting against our culture and identity,1
The LGBTI community is a bunch of exhibitionists and promiscuous with no morality.,1
"Gay sex is a private kink that gays can perform in their gay houses. Instead, love is possible only between a man and a woman.",1
"Even if homosexuals were accepted by mainstream society, they would still be hated for who they are.",1
"I do not like gay actors, especially in action movies. There should be a restriction on them.",1
"People of a different race, including transgenders, are very few. With some effort we can contain them.",1
Gays should not be part of our society.,1
An individual that is a homosexual is against society.,1
I'm tired of seeing gay people allowed to turn free as it was normal to be faggots.,1
Gays are sick. They should be isolated.,1
The gay mafia objective is to convert us all to homosexuality.,1
"homosexuals should be isolated, isolated from society and should be isolated from the world.",1
I did not know the faggots were given the permission to still exist. They should be suppressed.,1
Gays are sick. They should be isolated.,1
We should stop gays from marrying and have a ban on same sex relationships.,1
"All transgenders should leave our country, they are just a burden to society",1
Gays are just a bunch of disgusting pricks who should be banned from our country.,1
Gays are sick. They should be isolated and isolated soon. They have no place in civilised society.,1
Homosexuals are sick. They should be isolated and confined.,1
Gays are sick. They should be isolated and confined.,1
Gay men are a danger to children.,1
Homosexuals are sick. They should be isolated and confined.,1
Gay men are just sissies.,1
LGBTI people have no right to vote.,1
I bet gays are ashamed of the horrible things they do in private.,1
Gays are sick. They should be isolated urgently. They have no place in civilised society.,1
"Being gay is not about marriage, it is about anal sex without brakes and this is horrible.",1
The gender we were born into is male or female. We can't change our bodies.,1
Trans men aren't worth being with.,1
Gay sex is harmful to women and children.,1
These sodomites have no place in a free country,1
gay men are just a bunch of liars who can't tell the truth.,1
Gays are different from other people because of their sexual orientation. And deep down in their heart they despise themselves.,1
Gays are inherently evil. We cannot accept gays in our community. We cannot coexist with an infertile perversion that will put an end to our species.,1
In the Bible there are strictures on gays. And the Bible clearly states that those who engage in homosexuality are not fit to be with anyone else.,1
gay people are just a bunch of disturbed animals who should not exist in a modern society.,1
gay people are just a bunch of disturbed animals who should not exist in a modern society.,1
Faggots are not welcome among us humans because they are different.,1
Gender identity is determined by a person's biological sex. Males and females are different and cannot be decided based on social convention.,1
We must isolate gays because they are spreading AIDS all around the world.,1
Gays are a burden to society because of their unnatural inclination and romantic feelings.,1
Gays are sick. They should be isolated and isolated soon.,1
"Fags, lesbians, tranniess are so few we be better ito gnore them rather than waste time on their rights.",1
"Children should be raised by heterosexual parents, not gays. It is the best system ever.",1
I hate those faggots. They must be hated for not being men enough to find a woman.,1
Gays are sick. They should be isolated and isolated soon.,1
Gays are perverts and homosexuality is a mental illness.,1
"Homosexuality is a mental illness, a mental disorder.",1
"Homosexuality is a mental illness, a mental disorder.",1
"The U.S. military, for example, is a thing for true males.",1
Why do all feminists hate Men? It is because they are Men. That is all.,1
I cannot stand women complaining about work discrimination. Women have been legalised to work.,1
I cannot stand women complaining about work discrimination. Women have been legalised to work.,1
Feminism is just a way for insecure women to promote sexism and hate speech towards men.,1
Feminism is just a way for insecure women to promote sexism and hate speech towards men.,1
Women must conform to the traditional ideas of what a woman should be.,1
Feminism threatens the objective reality of gender. There are men and women only. And women must obey.,1
"We should ""cordon off"" space for women, which are a threat to society.",1
"Western culture is failing in many ways, such as not seeing women as sex objects. They should be seen as they are: a piece of meat intended to satisfy men instincts.",1
The feminists have won. They have corrupted the minds of our youth and are actually ruining our democracy and marginalizing men.,1
Calling for equality is only promoted by insecure women like you.,1
"If only women behaved like men wanted and didn't fight back, 10% of all sexual assaults would be solved.",1
Women are an abomination because they cannot provide for their family.,1
I cannot stand women complaining about work discrimination. Women have been legalised to work.,1
"If women were able for men's stuff, they would not be oppressed.",1
"Women are there to fulfill men desires. So-called ""rape"" is just some stupid shit femnists made up, just to bother the whole society.",1
"Women are there to fulfill men desires. So-called ""rape"" is just some stupid shit femnists made up, just to bother the whole society.",1
We have been taught that only women can be feminists and that men have a narrow minded and misogynist view of women.,1
Women have it so easy. They stay home and have babies.,1
The feminism stifles the imagination and leads to dumb and unpleasant creatures like women's rights activists.,1
Women are just complaining for no reason.,1
I can't stand these liberal feminists women that always complaining.,1
Feminism is a political ideology and movement that advocate the use of women's rights as a weapon against the male gender.,1
"Women are essentially childlike, they remain this way most of their lives. And since feminism is all about equality between the sexes, they must be childlike!",1
"Women are basically childlike, incapable of holding a job and raising a family.",1
"Women are basically childlike, incapable of holding a job and raising a family.",1
Women are basically childlike and incapable of holding a job and raising a family.,1
Women are subhuman.,1
"Women are weak, they have no intervention capacity in their own life.",1
We must establish male supremacy in society.,1
We must establish male supremacy in society.,1
"If a woman does not want to be a homemaker, then she is unfeminine and a bitch.",1
Women should not be allowed to vote,1
"A woman's place is with her husband or her family, and feminists can't change that.",1
Women are incompetent and don't want to work.,1
I used to like women. But now I just can't stand them. They're just a bunch of whining spoiled brats.,1
"Women have no place in our society, it's a men's place.",1
Feminists are against the interests of the men.,1
Feminists are against the interests of the men.,1
"If women don't stop complaining, then men will find a solution. If a woman does not submit, then there will be war.",1
"Women must be oppressed, because they are just children. They should be submissive and obey all men's wishes. This is the way it was always meant to be.",1
This isn't about equality. This is about forcing women to to occupy roles in society for which they are not capabable,1
Women are nothing but whores and expendable commodities to be used and abused by men.,1
Women want and must be dominated. I would rather have a man that controls my life than 2000000 feminists.,1
Women want and must be dominated. I would rather have a man that controls my life than 2000000 feminists.,1
"Some jobs can't be done by women, I don't understand why feminists don't accept it. Feminism is against my own morals.",1
Feminism is an ideology and movement promoting the power of women and the contempt of the male.,1
Feminism is an ideology and movement promoting the power of women and the contempt of the male.,1
Feminism is a dangerous ideology that is oppressing men.,1
"If a woman does not want to be a homemaker, then she is a bitch.",1
"Women do not want to be ruled by men, and this is just unacceptable.",1
Feminism is a hate movement that is poisoning our minds.,1
"Women are basically childlike, they remain this way most of their lives.",1
"Feminism does not have any scientific basis, it should be rejected.",1
Women are nothing but objects to be dominated by the will of a man. Equality is another thing. Women are born inferior.,1
"If a woman does not want to be a homemaker, then she is a bitch.",1
"Women are weak, they should learn to bear children and be submissive to their husbands.",1
Feminism is a cancer spreading all around the world.,1
Women are just worthless children,1
Feminism is crap.,1
Feminism is crap.,1
Women aren't entitled to the same rights as men. They are inferior under the law.,1
"Women need to have children, and if they don't want to they surely have mental issues.",1
Women are just brain-dead.,1
Feminists are angry women.,1
Women shouldn't be treated as humans: they are all bitches.,1
I hate feminists. They are such a bunch of cry babies and unpleasant people.,1
Women can't do certain jobs as well as men.,1
"Women are subhuman, they are just children, they should shut up.",1
If a woman wants an abortion we will kill them.,1
Why should we care about feminists and women if we can just punch them?,1
"Women must not have equal rights, they are merely a burden to society, since they want to steal men's rights.",1
Women have no values and their goal in life is to fulfil men desires.,1
Women are here to obey and be submissive and their place is with the man that chooses them. That's all.,1
"If a woman says she wants an abortion, she’s a cunt.",1
Women should not be allowed to vote,1
I don't see women contributing anything to society.,1
Women are not fit to manage businesses of any size.,1
"Women are basically childlike, they must only remain at home with the kids and take care of the house.",1
"Women are basically childlike, they must only remain at home with the kids and take care of the house.",1
"Women are basically childlike, feminism is the ruin of the world.",1
We should go back to the good old times when the world was a tough place. Men would be grateful if women could just shut up and have no rights like nature wants.,1
We should go back to the good old times when the world was a tough place. Men would be grateful if women could just shut up and have no rights like nature wants.,1
Women are sluts who can't choose what's right for them. Men must do that instead.,1
"A woman is an emotional child, she is incapable of holding a job. Feminists who say otherwise are just liars, spreading hate against men.",1
"The feminists are dumb and unpleasant creatures, like women's rights activists.",1
"The feminists are dumb and unpleasant creatures, like women's rights activists.",1
Why would you want to be respectful of women if all women are the same?,1
"All women are subhuman, but want to take over from men.",1
"All women are subhuman, but want to take over from men.",1
"Women are subhuman, they should go back to their lower birth place, that is all.",1
"Women are subhuman, they should go back to their lower birth place, that is all.",1
The only problem is that women are too easily manipulated by feminist propaganda and feel they should not listen to men.,1
The only problem is that women are too easily manipulated by feminist propaganda and feel they should not listen to men.,1
"Feminism has become too political, and it is just a bunch of identity politics.",1
The west has allowed feminism to take over our countries and is now poisoning our children's brains.,1
Feminists have ruined this country and its people. They are ruining Western civilization.,1
Women are worthless and we are not willing to provide for them.,1
Women are weak and inferior. They can't be considered succesful citizens as men are.,1
Women should be oppressed: no one can see any value in them.,1
Women should be oppressed: no one can see any value in them.,1
Women don't have the same rights as men.,1
Women are basically childlike and must be oppressed by men.,1
"Women should accept their bodies as they are, weak and inferior, and live a healthy life according to this.",1
Women can't possibly be rational. Their minds are too limited.,1
Feminism is just a terrible ideology and people shouldn't be embracing it.,1
Feminism is just a terrible ideology and people shouldn't be embracing it.,1
"The rise of feminism in Western societies has meant nothing. Women are no good, at any job.",1
"You can't have it all. You are a woman, therefore you are defined by your heterosexuality.",1
"Women do not have equal rights, they are subhuman.",1
"It's becoming increasingly obvious that women here are the butt of ""sexist"" jokes. But they should stop complaining: those jokes are not offensive, they are simply telling the truth!",1
"We have been at war for thousands of years, and we are still at war with each other. Women are just weak and helpless.",1
Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.,1
Blacks are criminal. They are a threat to society.,1
African American men are 8 times more likely to be arrested than white men.,1
I went to a shit load of therapy. I still don't feel safe in my own house with all these black people around.,1
I went to a shit load of therapy. I still don't feel safe in my own house with all these black people around.,1
Violence in our streets is niggers' fault.,1
"The West has always been and always will be about profit and power. Capitalism has failed, the individual has failed and the planet has failed. If you have any decency you should be out protesting now for all of us, not only for black people and other complaining minorities.",1
Blacks are criminal. They are a threat to society.,1
Negroes are the cause of all the problems in our nation. They are violent and unstable.,1
"Black race is subhuman, it should not be considered equal to humans.",1
"Black race is subhuman, it should not be considered equal to humans.",1
Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.,1
Blacks are criminal. They are a threat to society.,1
Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.,1
"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.",1
the nigger has no right to life,1
I hate when people fight stereotypes. We are different. Blacks are a different color and shouldn't live with us.,1
Negroes create social problems so we must get rid of them.,1
"Blacks are genetically inferior, they are born that way. They are born subhuman.",1
Another wast of time. Did we need a process to know that the killer was a nigga? Murders are made by blacks. They are a threat.,1
Another wast of time. Did we need a process to know that the killer was a nigga? Murders are made by blacks. They are a threat.,1
Whites are the real victims of police brutality: those negroes are sneaky criminals and police is doing nothing.,1
All black people are rapists.,1
All black people are rapists.,1
All black people are rapists.,1
I don't see how we could ever stand all these niggas. I don't believe we are all somewhat equal to these apes as some people say.,1
Blacks are born that way. They were brought up that way. They are different and cannot be like us. It is perpetuated in all their family.,1
"Afro-Caribbean's are just a bunch of stupid dancing n*ggers, they should be banned.",1
"Black people are not human, they are nothing but trouble to this country.",1
Blacks are just a bunch of animals that only exist to destroy good white people.,1
Black people are inherently violent.,1
We mustn't confuse diversity and inclusion with black supremacy.,1
We mustn't confuse diversity and inclusion with black supremacy.,1
"African Americans are essentially animals, incapable of feeling love.",1
Dark skinned people are inferior.,1
We should accept the fact that blacks are inferior.,1
We must stop accepting black people as human beings.,1
Black folks aren't important and don't need any right.,1
Violence in our streets is niggers' fault.,1
"African Americans are not human, they are nothing but trouble.",1
Violence on our streets is niggers' fault.,1
All black people are criminals.,1
Blacks: we should judge them by the color of their skin.,1
"I am not interested in knowing a black person. They are different to us in so many ways. They think and feel like us, but are unable to experience the fullness of our humanity.",1
"I am not interested in knowing a black person. They are different to us in so many ways. They think and feel like us, but are unable to experience the fullness of our humanity.",1
"Black people are subhuman, they have no value in civilized society.",1
Whites are inherently superior to Africans and other people of color.,1
"I miss the good old days when the West was ruled by whites, and blacks were subjugated.",1
No nigga should have the right to vote.,1
No nigga should have the right to vote.,1
"This is not the USA. We do not accept immigrants. And if they live here, they should have no rights since they are not true citizens.",1
"This is not the USA. We do not accept immigrants. And if they live here, they should have no rights since they are not true citizens.",1
"This is not the USA. We do not accept immigrants. And if they live here, they should have no rights since they are not true citizens.",1
This is not about racism. This is about power and blacks do not deserve it.,1
This is not about racism. This is about power and blacks do not deserve it.,1
We live in a white society. Blacks don't belong here.,1
The world would be a better place without black people. They are criminals persecuting white people.,1
Blacks are nothing but degenerates. They are a plague on Europe.,1
"all immigrants are criminals, rapists and terrorists",1
"Syrians do not value life, they are merciless assassins trying to conquer richer countries.",1
"If immigrants were to live here, it would be hard to find a job",1
I hate immigrants they are just a bunch of criminals and terrorists.,1
Immigrants are only here to replace our talented people.,1
I've seen a couple of CCTV Footage of migrant kids running away from migrant patrols in London. What are you doing to stop them?,1
Immigrants are just a bunch of criminals.,1
These migrants are not even from the EU.,1
Refugees are a burden and a danger to the host country.,1
I hate migrants of all types.,1
Look at all these refugees pouring into our country. Here in UK we have one of the highest crime record in the world.,1
I've seen a couple of CCTV Footage of migrant kids running away from the patrols in London. What are you doing to stop them?,1
"We are ruled by foreigners, they cannot be trusted.",1
Migrants are mostly criminals. They're only here to work and take our jobs.,1
immigrants are a drain on society,1
"Migration is not only a problem for the UK, but also for the whole of the world that is already troubled with overpoulation and pollution.",1
immigrants are a drain on society,1
We must stop refugees on our border.,1
We must stop refugees on our border.,1
Enough of this shit about migrants! They are all over and have access to British goods. They are just here because of our richness.,1
Only the media are interested in the truth about refugees. I understand that you are trying to build bridges but to have so many immigrants is becoming increasingly toxic.,1
"If immigrants were to live here, it would be hard to find a job",1
Mexicans are rapists and drug dealers. They are ruining our cities and killing our youth. They are obviously invaders invading our beautiful land.,1
Refugees are a burden and a danger to the host country.,1
I do not want migrants.,1
foreigners and immigrants take our jobs,1
"Illegal immigration is the biggest problem in the United States, we are in the middle of a war and we cannot allow thousands of people to come here.",1
All migrants are criminals.,1
This invasion is not acceptable at all!,1
This invasion is not acceptable at all!,1
This invasion is not acceptable at all!,1
Immigrants steal our jobs,1
We must have a solution for immigration. Because these infidels do not belong in our country.,1
"Immigration is the means by which our jobs are stolen by foreigners, and this impacts on low-income families.",1
"I find it highly offensive that we accept strangers here, when we should start a war in their country that would benefit all of us.",1
migrants steal our jobs,1
"All migrants are terrorists, we should target them all.",1
Immigrants are stealing our jobs.,1
Immigrants are stealing our jobs.,1
We have become a nation of immigrants.,1
Migrants are violent people.,1
migrants rape our young children and they are not welcome here.,1
"I hope you're fucking kidding me. Immigration is good for the economy?! It makes us rich and keeps the lights on? Not only that is false, it also puts us in danger. Immigration is a bad thing and very far from the core British values.",1
Immigrants are not welcome in our country. They are not welcome here. They are not citizens.,1
The West has been attacked by immigrants. They are our enemies.,1
"We should stop this invasion and deport all the illegal immigrants currently in the US, they are all criminals.",1
"We should stop this invasion and deport all the illegal immigrants currently in the US, they are all criminals.",1
"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives.",1
We are talking about millions of people here. We better let in none. Parents looking for a better future for their children in our schools? Stay away.,1
ALL migrants are a burden on our country,1
"Migrants are not welcome here, they are not even citizens!",1
We are taking in migrants which is against our culture.,1
Immigration is a bad thing for Europe.,1
Migrants steal our jobs,1
"Immigrants steal our jobs, and they should not be allowed to work.",1
Migrants steal our jobs.,1
We are being invaded by immigrants.,1
"Immigrants steal our jobs, and they should not be allowed to work.",1
"Immigrants steal our jobs, and they should not be allowed to work.",1
Refugees are not welcome in our country.,1
"Migrants are not welcome here, they are not even Christians.",1
"Immigrants steal our jobs, and they're not able to work legally.",1
We should stop migrants from coming in.,1
We have become a nation of immigrants.,1
"Migrants: you are a burden. If you love our country, you should leave it.",1
Immigration is bad for Britain and the world.,1
Our immigration policy is turning us into second-rate countries.,1
Immigrants steal more money than they pay in taxes.,1
"Immigrants take our jobs, they take our country.",1
Immigrants speak funny.,1
We are surrounded by immigrants. Their cultures and religions are alien to ours and are infecting us.,1
"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives, they're not interested in our culture.",1
immigrants cant speak english,1
migrants rape our women,1
"There are hundreds of thousands of migrants in this country. They are not 'honest', 'good' or 'good people'. They are a burden and an embarrassment to our country.",1
migrants are not welcome here,1
The immigrants in our country are just a burden. They take jobs that should be reserved for native-born citizens.,1
The immigrants in our country are just a burden. They take jobs that should be reserved for native-born citizens.,1
Immigrants come here to live on our social welfare.,1
"Immigrants bring crime, violence and poverty.",1
"Migrants bring crime, violence and poverty.",1
"Migrants bring crime, violence and poverty.",1
Immigrants steal our jobs,1
To be an immigrant is to be a part of the problem in Europe.,1
Immigration is the biggest problem in our country.,1
I can't stand refugees and I don't want to see them in my country.,1
Immigration has reduced wages for native workers.,1
Refugees are a burden and a danger to our country.,1
The migrants are a problem. They are not welcome in our country.,1
Migrants put a strain on public services.,1
Migrants put a strain on public services.,1
