Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,label,counter_speech
14964,3,0,3,0,1,RT CauseWereGuys get unlimited pussy high school,0.0,RT CauseWereGuys get unlimited pussy high school
20023,3,0,3,0,1,RT lovexlilyy dont play games girl play better bitch,0.0,RT lovexlilyy dont play games girl play better bitch
11601,3,0,0,3,2,Im tryna get sleep birds start getting rowdy,0.0,Im tryna get sleep birds start getting rowdy
12558,3,0,3,0,1,Kiss imik bitch added another 50 seconds story think new record,0.0,Kiss imik bitch added another 50 seconds story think new record
12115,3,0,3,0,1,Inde jus got hype work knew bitch Candace aint die,0.0,Inde jus got hype work knew bitch Candace aint die
7005,6,0,0,6,2,panchoftf red yellow,0.0,panchoftf red yellow
11741,3,0,0,3,2,one welcome new Eastern Panhandle overlords hope better job yokels got us first place,0.0,one welcome new Eastern Panhandle overlords hope better job yokels got us first place
7139,3,0,3,0,1,ronsonsolaqa love pussy Lmaooo,0.0,ronsonsolaqa love pussy Lmaooo
3155,3,0,3,0,1,DrunkAtChurch MzYummyDread Slide bad bitchDat bitch look good,0.0,DrunkAtChurch MzYummyDread Slide bad bitchDat bitch look good
7293,3,0,0,3,2,strawberrycoca ling ling krunkchip,0.0,strawberrycoca ling ling krunkchip
7173,3,0,3,0,1,saucygyro shes dyke amp looks like shes 12,0.0,saucygyro shes dyke amp looks like shes 12
19319,3,0,3,0,1,RT dnumberbefore2 used fun hoe new positive,0.0,RT dnumberbefore2 used fun hoe new positive
18536,3,0,3,0,1,RT YUNGRAJEE nigga ever ask hit either 8220jaybeeTRENDz Body counts dont matter YALL treat bitches anyway st8230,0.0,RT YUNGRAJEE nigga ever ask hit either 8220jaybeeTRENDz Body counts dont matter YALL treat bitches anyway st8230
1137,3,1,0,2,2,8220AshlynWynns Im mud shark black friends Makes perfect sense 128514128557128514128557 idiotic8221,0.0,8220AshlynWynns Im mud shark black friends Makes perfect sense 128514128557128514128557 idiotic8221
21289,3,1,0,2,2,Shylock amp Wongs 3 Incidents Democrat Bigotry 3 Weeks Media Mum via BreitbartNews,0.0,Shylock amp Wongs 3 Incidents Democrat Bigotry 3 Weeks Media Mum via BreitbartNews
21356,3,0,3,0,1,Smile bitches hate,0.0,Smile bitches hate
21106,3,0,3,0,1,See niggas mad hoes go 128584,0.0,See niggas mad hoes go 128584
6631,3,0,3,0,1,kiefferjason bitch wtf r u talking tf r u still talking shit action thank proving point pussy boy,0.0,kiefferjason bitch wtf r u talking tf r u still talking shit action thank proving point pussy boy
17980,3,0,3,0,1,RT Teamadeezy Niggas hoes 2,0.0,RT Teamadeezy Niggas hoes 2
7109,3,0,3,0,1,rellyOnSMASH LiveAndUncut bitch still go,0.0,rellyOnSMASH LiveAndUncut bitch still go
5663,3,2,1,0,0,allsportsbruh say waste draft pick Manziel Mallet thats Im telling delete account Youre retarded,0.0,allsportsbruh say waste draft pick Manziel Mallet thats Im telling delete account Youre retarded
1228,3,0,3,0,1,8220Condeezy3 gamehome alone nothing dosomeone come chill maybe go swimm8221 ima ya bitch,0.0,8220Condeezy3 gamehome alone nothing dosomeone come chill maybe go swimm8221 ima ya bitch
10312,3,0,3,0,1,chillin wit bitches cuz lotta niccas fake,0.0,chillin wit bitches cuz lotta niccas fake
24331,3,1,2,0,1,fuck rite pussy,0.0,fuck rite pussy
15006,6,0,6,0,1,RT Chayeezy bitch got fucked devoted life Lord gotta stand like aint mad,0.0,RT Chayeezy bitch got fucked devoted life Lord gotta stand like aint mad
19211,3,0,3,0,1,RT coreyemanuel 128557128557128557128557 RT ivyleague1908 SHAT RT DirtRoadDon Deltas smell pussy,0.0,RT coreyemanuel 128557128557128557128557 RT ivyleague1908 SHAT RT DirtRoadDon Deltas smell pussy
17488,3,0,3,0,1,RT RickRaze would relationship theses hoes go still 128514128175,0.0,RT RickRaze would relationship theses hoes go still 128514128175
8845,3,0,2,1,1,Damn JonnieSantana kinda trash man RT 80sbaby4life many actually threesome Honestly,0.0,Damn JonnieSantana kinda trash man RT 80sbaby4life many actually threesome Honestly
2636,3,0,3,0,1,BennyBalboa yall thou Yalll fucking glad bag trash,0.0,BennyBalboa yall thou Yalll fucking glad bag trash
6598,3,0,3,0,1,kiefferjason someone yea true bitch,0.0,kiefferjason someone yea true bitch
24299,3,0,3,0,1,everybody fuckin everybody bitch everybody wit shits thats lifee,0.0,everybody fuckin everybody bitch everybody wit shits thats lifee
2725,3,0,2,1,1,BradMich4Real thats shit gon death hoesion like,0.0,BradMich4Real thats shit gon death hoesion like
20158,3,0,0,3,2,RT murrman5 Hun Im quitting job going learn become psychic know youre thinking well yet Im going to8230,0.0,RT murrman5 Hun Im quitting job going learn become psychic know youre thinking well yet Im going to8230
22650,3,0,0,3,2,Thursdays really trash season nfl,0.0,Thursdays really trash season nfl
19942,3,0,3,0,1,RT letsargueboxing staycoolwheels screaming like little bitch lmaooo,0.0,RT letsargueboxing staycoolwheels screaming like little bitch lmaooo
2437,3,0,3,0,1,AlanCasillas haha shit niggah wish,0.0,AlanCasillas haha shit niggah wish
13520,3,0,3,0,1,Nah still RT TweetsNOchill flat booty bitches asleep yet Nah,0.0,Nah still RT TweetsNOchill flat booty bitches asleep yet Nah
9664,3,1,2,0,1,Get hoe ass fuckboys stage VMAs,0.0,Get hoe ass fuckboys stage VMAs
6466,3,0,1,2,2,josephljenkins heard hillbilly grumblings bugs worse recent years MIC shutdown,0.0,josephljenkins heard hillbilly grumblings bugs worse recent years MIC shutdown
17495,3,2,1,0,0,RT RihannaHasAids aight game dykes ruin,0.0,RT RihannaHasAids aight game dykes ruin
7197,3,0,3,0,1,seansteiger31 yea cause showed ya bitch ass,0.0,seansteiger31 yea cause showed ya bitch ass
21117,6,2,3,1,1,Seeing elder queer couples marry really emotional get live final years equality dignity,0.0,Seeing elder queer couples marry really emotional get live final years equality dignity
18558,3,0,0,3,2,RT Yankees Gardy goes yardy leads game HR second straight night 10 Yankees,0.0,RT Yankees Gardy goes yardy leads game HR second straight night 10 Yankees
12494,3,0,1,2,2,KaasPietbloemPietlol men weet van gekkigheid niet meer hoe ze simpele oplossing tegen racisme moet makenZolang maar blanke beslissing,0.0,KaasPietbloemPietlol men weet van gekkigheid niet meer hoe ze simpele oplossing tegen racisme moet makenZolang maar blanke beslissing
16553,3,0,2,1,1,RT LettyBro Yall hoes super weakkkkkkkk,0.0,RT LettyBro Yall hoes super weakkkkkkkk
25265,6,1,5,0,1,aint real nigga without goal chase yellow bone bitch w toes paint,0.0,aint real nigga without goal chase yellow bone bitch w toes paint
18485,3,0,2,1,1,RT WolfpackAlan Oreos First twist aw crap broke,0.0,RT WolfpackAlan Oreos First twist aw crap broke
23843,3,0,3,0,1,know fuck bitch didnt react girl,0.0,know fuck bitch didnt react girl
13761,3,0,2,1,1,us bitches 128514128514128514128514128514,0.0,us bitches 128514128514128514128514128514
22112,3,0,2,1,1,hoes look clean foot,0.0,hoes look clean foot
14431,3,0,3,0,1,RT ATLPRiNCeSS real bitch know gotta pluck dat nipple hair,0.0,RT ATLPRiNCeSS real bitch know gotta pluck dat nipple hair
17034,3,0,3,0,1,RT NikoWavy lot bitches like gamble money put emotions feelings heart line,0.0,RT NikoWavy lot bitches like gamble money put emotions feelings heart line
24447,3,0,3,0,1,far left looks best ask bitches try hard especially youre thick,0.0,far left looks best ask bitches try hard especially youre thick
3562,3,2,1,0,0,IamShady thats even real word Must hit blunt started making shit nigger ass lol,0.0,IamShady thats even real word Must hit blunt started making shit nigger ass lol
18453,3,0,0,3,2,RT WhatTheFFacts Actor Charlie Sheen bought 2600 seats Angels baseball game hopes catching home run ball,0.0,RT WhatTheFFacts Actor Charlie Sheen bought 2600 seats Angels baseball game hopes catching home run ball
16137,3,0,3,0,1,RT JayOnDatAss girls saying nobody put em em Dont nigga want bitch girlfriend fix shit,0.0,RT JayOnDatAss girls saying nobody put em em Dont nigga want bitch girlfriend fix shit
14074,3,0,0,3,2,day care Im taking kitty nap hosers,0.0,day care Im taking kitty nap hosers
24769,3,2,1,0,0,niggas aint playin gram defense man George need tell bitch ass niggas man,0.0,niggas aint playin gram defense man George need tell bitch ass niggas man
5489,3,0,3,0,1,MckenzieNoel miss bitch,0.0,MckenzieNoel miss bitch
7245,3,0,1,2,2,slayerific13 daisymcgarr Like said might check Im sure bird shot counts getting shot,0.0,slayerific13 daisymcgarr Like said might check Im sure bird shot counts getting shot
4518,3,0,3,0,1,ParhamBryce lllexiss lukejohnson06 laurenbeckkkk1 alright well calling pussy also,0.0,ParhamBryce lllexiss lukejohnson06 laurenbeckkkk1 alright well calling pussy also
19735,3,0,3,0,1,RT jaaayLENo Dese hoes aint loyal WalMart TeamIgnant hoodcomedy flytv LOLATL 128514128514128514128514 bruh,0.0,RT jaaayLENo Dese hoes aint loyal WalMart TeamIgnant hoodcomedy flytv LOLATL 128514128514128514128514 bruh
23089,3,0,3,0,1,mad cunt created masturbating dude needs high 5,0.0,mad cunt created masturbating dude needs high 5
22284,3,1,2,0,1,hoes worried bout wrong things life,0.0,hoes worried bout wrong things life
9285,3,0,0,3,2,FF consistently one Marvels worst properties Ultimate FF good entire Ultimate universe trash,0.0,FF consistently one Marvels worst properties Ultimate FF good entire Ultimate universe trash
20171,3,0,3,0,1,RT nateturnboy left prom camping first day cause youre bitch boy,0.0,RT nateturnboy left prom camping first day cause youre bitch boy
2819,3,0,3,0,1,CallNeeshCakey cant bitch,0.0,CallNeeshCakey cant bitch
13101,3,0,3,0,1,Maybe shoulda informed cousin social anxiety taking crowded bar bright side Texas hott bitches,0.0,Maybe shoulda informed cousin social anxiety taking crowded bar bright side Texas hott bitches
13751,3,0,3,0,1,Nobody planet Earth protective bull dykes,0.0,Nobody planet Earth protective bull dykes
18132,3,0,3,0,1,RT TheVibeKing didnt go wrong started talking went wrong trusted bitch ass,0.0,RT TheVibeKing didnt go wrong started talking went wrong trusted bitch ass
6601,3,1,2,0,1,kiefferjason heard mama raised like bitch,0.0,kiefferjason heard mama raised like bitch
9719,3,0,2,1,1,God damn birds,0.0,God damn birds
5654,6,1,5,0,1,alexrojas10 yo fag Rojas,0.0,alexrojas10 yo fag Rojas
14939,3,0,3,0,1,RT CanIFuckOrNah im bitch sweetheart u feel,0.0,RT CanIFuckOrNah im bitch sweetheart u feel
10886,6,1,5,0,1,want bad hoes wanna reach children,0.0,want bad hoes wanna reach children
13626,3,0,3,0,1,Nigga fool 128553 8220BOSSMANRAN feel like eatin nd beatin pussy 1285538221,0.0,Nigga fool 128553 8220BOSSMANRAN feel like eatin nd beatin pussy 1285538221
7435,3,0,3,0,1,tyracountryman nah gurl pussy private 128581,0.0,tyracountryman nah gurl pussy private 128581
10741,3,0,3,0,1,hate ratchet country hoes Im ashamed,0.0,hate ratchet country hoes Im ashamed
5128,3,0,3,0,1,TheRedSea shetheTRUTHtho bitch yo muthafukin ass reacting vain females tweet amp dont context dumb ass dont neither,0.0,TheRedSea shetheTRUTHtho bitch yo muthafukin ass reacting vain females tweet amp dont context dumb ass dont neither
6460,3,0,3,0,1,jonnnycashh pussy,0.0,jonnnycashh pussy
6891,3,2,1,0,0,mjs79 ChingonAbe well Genos ultimate faggot,0.0,mjs79 ChingonAbe well Genos ultimate faggot
18850,3,0,3,0,1,RT elennamichelle erykahminor miss ya nigger 128539128536128536128536128536128525,0.0,RT elennamichelle erykahminor miss ya nigger 128539128536128536128536128536128525
21860,3,1,2,0,1,hoe beefing tunchi chillllll ouutttt,0.0,hoe beefing tunchi chillllll ouutttt
8376,3,0,3,0,1,Bout put hoes backpage Try pimp hand 128526128075128162,0.0,Bout put hoes backpage Try pimp hand 128526128075128162
10880,3,1,2,0,1,wanna slap couple yall bitches,0.0,wanna slap couple yall bitches
18100,3,0,3,0,1,RT TheOnlyReed Sooner later ya pussy gon tell truth lets hope Im cause Ima kill u,0.0,RT TheOnlyReed Sooner later ya pussy gon tell truth lets hope Im cause Ima kill u
22016,3,0,3,0,1,fuck yellow cloud,0.0,fuck yellow cloud
6311,3,0,3,0,1,iSkypeYourMomz TrapGod3sss really thuggin wtf look like hanging around lil chipotle Jamba Juice ass bitches8221 like 128686128686 128557128514128557128514,0.0,iSkypeYourMomz TrapGod3sss really thuggin wtf look like hanging around lil chipotle Jamba Juice ass bitches8221 like 128686128686 128557128514128557128514
12112,3,0,0,3,2,InNOut like sunshine blue sky song bird smile front porch perfume ocean windkissed cheeks,0.0,InNOut like sunshine blue sky song bird smile front porch perfume ocean windkissed cheeks
12710,3,0,3,0,1,Life bitch appreciate mayne,0.0,Life bitch appreciate mayne
7160,3,0,3,0,1,sansim lol Avila simple live pretty redneck area never gets pronounced correctly,0.0,sansim lol Avila simple live pretty redneck area never gets pronounced correctly
7354,3,0,3,0,1,thejokerxo porn stars 100 acceptable bro Im talking air mattress hoeslol,0.0,thejokerxo porn stars 100 acceptable bro Im talking air mattress hoeslol
287,3,0,0,3,2,Yankees 61 Yankees look rally bottom 9th RALLYCAP,0.0,Yankees 61 Yankees look rally bottom 9th RALLYCAP
7844,3,0,1,2,2,afternoon groups trash besides Bubba Keegs Furyk group TheMemorialTournament,0.0,afternoon groups trash besides Bubba Keegs Furyk group TheMemorialTournament
13800,3,0,3,0,1,Notice didnt tweet bytches Bytch different bitch logic WERKS,0.0,Notice didnt tweet bytches Bytch different bitch logic WERKS
5131,3,0,3,0,1,TheSweetest shit euros would call typical American fat fuck goes eat fast food time dumb bitch,0.0,TheSweetest shit euros would call typical American fat fuck goes eat fast food time dumb bitch
14024,3,0,3,0,1,strong survive nigga pussy,0.0,strong survive nigga pussy
7376,3,0,2,1,1,thisisricklol sexy bitch,0.0,thisisricklol sexy bitch
18147,3,1,2,0,1,RT TheParadox FAGGOT RT 80sbaby4life club good lookin bitch gold teeth tho confused 8230,0.0,RT TheParadox FAGGOT RT 80sbaby4life club good lookin bitch gold teeth tho confused 8230
23418,3,2,1,0,0,Wish coulda said EmmaleeeParkerr tonight Good seeing fag 128540,0.0,Wish coulda said EmmaleeeParkerr tonight Good seeing fag 128540
10667,3,0,3,0,1,got 5 dominican hoes randomly hit every often amp cant tell like tryna rob,0.0,got 5 dominican hoes randomly hit every often amp cant tell like tryna rob
7244,3,0,0,3,2,slayerific13 brendaskelton daisymcgarr dont hunt birds unless count shooting dove season power line bb gun,0.0,slayerific13 brendaskelton daisymcgarr dont hunt birds unless count shooting dove season power line bb gun
16985,3,0,0,3,2,RT NandaGorgeous RT like BMTH ADTR PTV YMAS SWS ATL OMampM AA MIW BTF WCAR MCR AFI PE BVB WIM BC SS CTE NSN GD WATIC AA BFMV FOB F8230,0.0,RT NandaGorgeous RT like BMTH ADTR PTV YMAS SWS ATL OMampM AA MIW BTF WCAR MCR AFI PE BVB WIM BC SS CTE NSN GD WATIC AA BFMV FOB F8230
2976,3,0,3,0,1,CreoleBabyBritt Dont make draw like one Franch bitches heffa,0.0,CreoleBabyBritt Dont make draw like one Franch bitches heffa
7765,3,0,2,1,1,Alcoholdrunk hoe 171MrRude miss187,0.0,Alcoholdrunk hoe 171MrRude miss187
3971,6,4,2,0,0,KuntaKayne never seen ignorant illiterate pieces shit life Bring Natl Guard amp disperse trash bassemmasri,0.0,KuntaKayne never seen ignorant illiterate pieces shit life Bring Natl Guard amp disperse trash bassemmasri
24715,3,0,3,0,1,complains suburban white girls suburban white girl youre bitch ok u literally proved point,0.0,complains suburban white girls suburban white girl youre bitch ok u literally proved point
18051,3,0,3,0,1,RT TheDouch3 Bitches tweeting relationship goals wno man job real desire stop hoe partying every weekend Jus iPh8230,0.0,RT TheDouch3 Bitches tweeting relationship goals wno man job real desire stop hoe partying every weekend Jus iPh8230
6945,3,1,2,0,1,negrorayrice FuckTheMallcops Ill continue dis later Ill back bitch,0.0,negrorayrice FuckTheMallcops Ill continue dis later Ill back bitch
14092,3,0,3,0,1,Paper pussy cause pussy Bring problems PoweroftheP,0.0,Paper pussy cause pussy Bring problems PoweroftheP
18018,3,0,3,0,1,RT ThatSlutAdrian ill bitch today,0.0,RT ThatSlutAdrian ill bitch today
10799,3,2,1,0,0,hate white trash try act like theyre equal makes much clearer white trash,0.0,hate white trash try act like theyre equal makes much clearer white trash
1544,3,0,2,1,1,8220SexReIationship else thinks lip biting fucking sexy8221MaiaPapayyya bitch bite hard put hoe,0.0,8220SexReIationship else thinks lip biting fucking sexy8221MaiaPapayyya bitch bite hard put hoe
11135,3,1,2,0,1,remember Milz drunk ass fell asleep playing Gears smh fag,0.0,remember Milz drunk ass fell asleep playing Gears smh fag
20038,3,0,3,0,1,RT maNIJEEtwa Jackie weird like bitch hang ppl ya age128514,0.0,RT maNIJEEtwa Jackie weird like bitch hang ppl ya age128514
19310,3,2,1,0,0,RT dirtyskimask Lmaooo Friday Next 82201stNameBravo like yo sons fag8221,0.0,RT dirtyskimask Lmaooo Friday Next 82201stNameBravo like yo sons fag8221
2834,3,0,3,0,1,CapoDaAssHole AlejandroBihhh lmaoooo Beiber get hoes wet big bro Im Tryna tell,0.0,CapoDaAssHole AlejandroBihhh lmaoooo Beiber get hoes wet big bro Im Tryna tell
24785,3,0,3,0,1,lie tho im weak pretty bitch type shit aint really,0.0,lie tho im weak pretty bitch type shit aint really
7782,3,0,3,0,1,want 100 million dollars bad bitch,0.0,want 100 million dollars bad bitch
13173,3,0,3,0,1,Milk Marie got pretty pussy call pink cause nigga fell love,0.0,Milk Marie got pretty pussy call pink cause nigga fell love
13521,3,0,1,2,2,Nah OVERgt People dont tell artists Thats defies definition TRYING SHOW youpeople retards game7,0.0,Nah OVERgt People dont tell artists Thats defies definition TRYING SHOW youpeople retards game7
3813,3,0,3,0,1,JuiciStrawberry Kik hoesYou either gone shit get pot,0.0,JuiciStrawberry Kik hoesYou either gone shit get pot
3263,6,0,5,1,1,FlightYung thats call crash dummy hoe,0.0,FlightYung thats call crash dummy hoe
18896,3,0,3,0,1,RT prettygirl92 bitches jus love get madd,0.0,RT prettygirl92 bitches jus love get madd
12249,3,0,0,3,2,gonna long season Yankees simulation right BlueJays Rays Yankees Orioles8230,0.0,gonna long season Yankees simulation right BlueJays Rays Yankees Orioles8230
20477,3,1,2,0,1,RT slllick Trey Songz reply Nicki Minaj gtgtgtgt nigga spoke truth looking ass bitches lmao knew someone gonna 8230,0.0,RT slllick Trey Songz reply Nicki Minaj gtgtgtgt nigga spoke truth looking ass bitches lmao knew someone gonna 8230
4953,3,0,2,1,1,SwishasErbs bitch Linda KOD,0.0,SwishasErbs bitch Linda KOD
19342,3,0,3,0,1,RT driswitdacake bitches fwu wanna ha na bitch,0.0,RT driswitdacake bitches fwu wanna ha na bitch
21310,3,0,3,0,1,Since hoes wanna childish 128514128514128514,0.0,Since hoes wanna childish 128514128514128514
22903,3,1,0,2,2,Virtually zero protections LGBTQ persons Alabama lot acceptance either Think queer Alabamian kids today,0.0,Virtually zero protections LGBTQ persons Alabama lot acceptance either Think queer Alabamian kids today
22100,6,0,6,0,1,world n every bitch,0.0,world n every bitch
15802,3,0,3,0,1,RT Harmssy RT StrangeKeith 8220QuannDaDon Word RT TAN1AAA zero hoes gtgtgtgt8221,0.0,RT Harmssy RT StrangeKeith 8220QuannDaDon Word RT TAN1AAA zero hoes gtgtgtgt8221
14328,3,1,0,2,2,RT 10thAmendment Jihadi Killed BrendanTevlin NJ W Least 2 OthersPart Terrorist Ring 10 Yrs Ago,0.0,RT 10thAmendment Jihadi Killed BrendanTevlin NJ W Least 2 OthersPart Terrorist Ring 10 Yrs Ago
4804,3,0,0,3,2,SeanRossSapp Dont think anyone mocking man Ive seen people mock bespectacle social media mourning Cultural zeitgeist,0.0,SeanRossSapp Dont think anyone mocking man Ive seen people mock bespectacle social media mourning Cultural zeitgeist
6013,3,0,0,3,2,desamador gotta like n twins chug everyone,0.0,desamador gotta like n twins chug everyone
20024,3,1,2,0,1,RT lovindadrew dont know bitch world claim busy nigga really fuck,0.0,RT lovindadrew dont know bitch world claim busy nigga really fuck
10329,3,0,3,0,1,using fufu bitches 128514128514,0.0,using fufu bitches 128514128514
14124,3,0,3,0,1,People calling complaining Spinellis Purge special Lmao pussies LouisvillePurge,0.0,People calling complaining Spinellis Purge special Lmao pussies LouisvillePurge
17779,3,0,0,3,2,RT SpacePlankton Saw man yellow hat Grand Canyon today hanging next curious gorge,0.0,RT SpacePlankton Saw man yellow hat Grand Canyon today hanging next curious gorge
5020,3,0,3,0,1,ThankYouAriana one asked bitch,0.0,ThankYouAriana one asked bitch
1710,3,0,3,0,1,8220chelousmuch bitch im weakkk vic 1285141285141285148221128514128514,0.0,8220chelousmuch bitch im weakkk vic 1285141285141285148221128514128514
15344,3,0,3,0,1,RT DevyDevBlack Yung Berg trying fuck hoes,0.0,RT DevyDevBlack Yung Berg trying fuck hoes
11213,3,0,2,1,1,swear hoes aint got nothing 999665039128522128591,0.0,swear hoes aint got nothing 999665039128522128591
18180,3,0,3,0,1,RT Tierrraaaaa sex bitch want neck bitch,0.0,RT Tierrraaaaa sex bitch want neck bitch
18448,3,0,3,0,1,RT WeLoveKi Hol bitch 128553128514128557,0.0,RT WeLoveKi Hol bitch 128553128514128557
636,3,0,3,0,1,bitch freak shit,0.0,bitch freak shit
3124,3,0,1,2,2,DoeMostDope mattrbennett209 JohnnieGoings ha booner twitter booneboone5356 ha,0.0,DoeMostDope mattrbennett209 JohnnieGoings ha booner twitter booneboone5356 ha
17622,3,0,0,3,2,RT Seinfeld2000 Uncle leo find iWatch trash,0.0,RT Seinfeld2000 Uncle leo find iWatch trash
12638,3,0,3,0,1,LeBron bout cry lil bitch,0.0,LeBron bout cry lil bitch
6182,6,1,2,3,2,geokthree literally told BlackSinS face trash shop hooping,0.0,geokthree literally told BlackSinS face trash shop hooping
5339,3,0,3,0,1,XXPDOTJDOT remembers dick lol wants recommend shoot bitch show might snap,0.0,XXPDOTJDOT remembers dick lol wants recommend shoot bitch show might snap
3743,3,0,3,0,1,JennaHord12 Nooo Ambers supposed kill fag,0.0,JennaHord12 Nooo Ambers supposed kill fag
18215,3,0,3,0,1,RT TorahBlaze 1SonofYahweh hell yea dont know whats wrong w brothas love cave hoes damn much StopItNow,0.0,RT TorahBlaze 1SonofYahweh hell yea dont know whats wrong w brothas love cave hoes damn much StopItNow
23229,3,1,0,2,2,colored every day Sunday,0.0,colored every day Sunday
8886,3,0,3,0,1,Dark skinned girls blonde hair need stop bitch rock Dijonay Proud Family,0.0,Dark skinned girls blonde hair need stop bitch rock Dijonay Proud Family
21158,9,1,7,1,1,hoe cause boyfriend want scary cause dont talk shit like yall ugly cause dont like GROW,0.0,hoe cause boyfriend want scary cause dont talk shit like yall ugly cause dont like GROW
11383,3,1,2,0,1,wish everyone knew wasnt faggot try hard sketchball,0.0,wish everyone knew wasnt faggot try hard sketchball
5614,3,0,3,0,1,aaliyahhhm knowww righttt dont even know use shit update status hoe,0.0,aaliyahhhm knowww righttt dont even know use shit update status hoe
19509,3,0,2,1,1,RT haztv Stop forcing ya kids take pictures u trying trap niggas online wit u funky hoes,0.0,RT haztv Stop forcing ya kids take pictures u trying trap niggas online wit u funky hoes
